Lapis Talas Botani,https://www.google.co.id/maps/place/Lapis+Talas+Botani/,https://geo0.ggpht.com/cbk?panoid=PltiqFbJxWmx4HIO-Za0sw&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=348.74387&pitch=0&thumbfov=100,Cake shop,"Jl. Pramuka No.101A, RT.14/RW.5, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia",+62 811-805-300,"RV58+6H Rawasari, Central Jakarta City, Jakarta, Indonesia",Claim this business
Sakura anpan Cake Shop,https://www.google.co.id/maps/place/Sakura+anpan+Cake+Shop/,https://lh5.googleusercontent.com/p/AF1QipPJ6mm3Qi6T3Sw0Sd-lVozyHT2NIyOlTbfYL2Op=w408-h306-k-no,Bakery,"Jalan Haji Agus Salim No. 25 A, Kebon Sirih, Menteng, RT.1/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",business.google.com,+62 21 3144253,"RR8F+9X Kebon Sirih, Central Jakarta City, Jakarta, Indonesia"
Moist Lapis Legit,https://www.google.co.id/maps/place/Moist+Lapis+Legit/,https://lh5.googleusercontent.com/p/AF1QipNK2N3ul27CkdlBK_gWfJFY3EycMkSNa5t3jQ9s=w408-h725-k-no,Cake shop,"Ruko Graha Lima-lima, Jl. Penyelesaian Tomang IV Jl. Kav. DKI No.1D, Meruya Utara, Kec. Kembangan, Daerah Khusus Ibukota Jakarta 11620, Indonesia",+62 898-8359-333,"QPXH+4P North Meruya, West Jakarta City, Jakarta, Indonesia",Reviews
Kue Lapis Legit Ny. Hui,https://www.google.co.id/maps/place/Kue+Lapis+Legit+Ny.+Hui/,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,Restaurant,"Jl. Pluit Karang Asri III No.10, RT.2/RW.13, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",tokopedia.com,+62 21 6616815,"VQPF+98 Pluit, North Jakarta City, Jakarta, Indonesia"
Suisse Bakery,https://www.google.co.id/maps/place/Suisse+Bakery/,https://lh5.googleusercontent.com/proxy/wGXVSJcvxnn9ti6ZUt_OfV_uY0TrdCCn4wrbPnWEIprIfciz9_WA9S6TdcT1-1jEM7wuaesmXqdfpLERBI8Hz3o1rQRvRGmJvzerv7rDY_rHECS03gXYn9h2Xj9fWm1C5c-rAcwBiv0QgwJcLNjCioaKWg-trCE=w408-h306-k-no,Bakery,"Jl. Hayam Wuruk 114 Blok A No.5-6, RT.10/RW.9, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",+62 21 6393409,"RRX8+PW Maphar, West Jakarta City, Jakarta, Indonesia",Claim this business
Martha Cake Shop,https://www.google.co.id/maps/place/Martha+Cake+Shop/,https://lh3.googleusercontent.com/proxy/SLjcva5jUTrfxdGPZoq_VM0ayiUY8Dmur74LTzaBLglkc3JOonobsr1PcNO2-mc0PuvfqKXLLoGEpzux_4XloawRrjRJMoxw_1zKdK8YF1jmbZHmEXFHIH0WWrothZOlW9vtRBmbElnbSC5j9nu5Hd8WAmQcUYc=w408-h544-k-no,Cake shop,"Jl. Jambu No.33, RT.4/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",+62 21 3143567,"RR4M+JR Gondangdia, Central Jakarta City, Jakarta, Indonesia",Claim this business
Maison Weiner Cake Shop,https://www.google.co.id/maps/place/Maison+Weiner+Cake+Shop/,https://lh5.googleusercontent.com/p/AF1QipNUbyzuosaaudyELrpvalX1ls3LHX0nVkMZPYos=w408-h306-k-no,Bakery,"Jl. Kramat II No.2, RT.6/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420, Indonesia",+62 21 3906719,"RR9R+4V Kwitang, Central Jakarta City, Jakarta, Indonesia",Claim this business
Stelete Cake,https://www.google.co.id/maps/place/Stelete+Cake/,https://lh5.googleusercontent.com/p/AF1QipNwjrmcyTWg5AN3ibN-qEP_l0uj5VhMiBQkad-P=w408-h306-k-no,Bakery,"Komplek Lokasari Blok B no 17, Jl. Raya Mangga Besar, RT.13/RW.1, Tangki, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",instagram.com,+62 812-9111-2323,"VR2F+VJ Tangki, West Jakarta City, Jakarta, Indonesia"
KiosUsaha.com,https://www.google.co.id/maps/place/KiosUsaha.com/,https://lh5.googleusercontent.com/p/AF1QipMPYKrAD8stB1Lhop6kDOPk7_ck7jdwQDbj8EOT=w408-h724-k-no,Corporate office,"Dpn Perum.The Residence Jalan Inpres IX No.1, RT.002/RW.07, Larangan Utara, Kec. Larangan, Kota Tangerang, Banten 15154, Indonesia",kiosusaha.com,+62 812-8998-341,"QP6F+Q4 North Larangan, Tangerang City, Banten, Indonesia"
Pinot Bread (Meruya),https://www.google.co.id/maps/place/Pinot+Bread+(Meruya)/,https://lh5.googleusercontent.com/p/AF1QipNDiLhv7MonJ-1-jGjFs22mY8IpbFDWxN-g60bA=w408-h306-k-no,Bakery,"Jalan Meruya Ilir Raya Blok B5 No.16B, Meruya Utara, Kembangan, RT.1/RW.9, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",+62 21 5851987,"RP3W+24 North Meruya, West Jakarta City, Jakarta, Indonesia",Claim this business
Lauw Bakery,https://www.google.co.id/maps/place/Lauw+Bakery/,https://lh5.googleusercontent.com/p/AF1QipNEFiHbCA8QuZTRByzAtfcldaq3_eXwhWziZmuO=w408-h306-k-no,Bakery,"Jl. RS. Fatmawati Raya No.42, RT.9/RW.7, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150, Indonesia",+62 21 7398290,"PQQW+XQ North Cipete, South Jakarta City, Jakarta, Indonesia",Claim this business
KUEHANY - Snack Box Hany - SNACK BOX JAKARTA,https://www.google.co.id/maps/place/KUEHANY+-+Snack+Box+Hany+-+SNACK+BOX+JAKARTA/,https://lh5.googleusercontent.com/p/AF1QipOR2m87NF9bXsXhujZNIDyhqKY4_ImuBpJ0NaWx=w408-h544-k-no,Cake shop,"Jl. Masjid Gedong No.6, RT.4/RW.1, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760, Indonesia",Menu,kuehany.com,+62 813-5552-3363
Vivi Cake Shop,https://www.google.co.id/maps/place/Vivi+Cake+Shop/,https://lh5.googleusercontent.com/p/AF1QipP_JcQLIQdQ_v3AgVroIUP1_kgqyKZOmk0doTta=w426-h240-k-no,Cake shop,"Jl. Barito II No.29 A, RT.2/RW.5, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",+62 21 7252743,"QQ2W+FC Kramat Pela, South Jakarta City, Jakarta, Indonesia",Claim this business
Fika Cakes,https://www.google.co.id/maps/place/Fika+Cakes/,https://lh5.googleusercontent.com/p/AF1QipNkpQDd76iRAxdQoM26jWwAG1VLjhQrboavvZ-T=w426-h240-k-no,Cake shop,"Jl. Buaran Raya No.2, RW.13, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13440, Indonesia",+62 811-108-445,"QWH9+MM Klender, East Jakarta City, Jakarta, Indonesia",Claim this business
Sedap Wangi,https://www.google.co.id/maps/place/Sedap+Wangi/,https://lh5.googleusercontent.com/p/AF1QipOnewSywQJGKdudOonwP_0bHzZ4M5IMeOBH1e1J=w408-h544-k-no,Bakery,"Jl. Cipinang Muara I No. 20, RT 12 / RW 03, Cipinang Muara, Jatinegara, RT.16/RW.3, Pondok Bambu, RT.16/RW.3, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430, Indonesia",sedapwangi.com,+62 21 8616311,"QVCV+H8 Pondok Bambu, East Jakarta City, Jakarta, Indonesia"
Brooklyn American Cakery,https://www.google.co.id/maps/place/Brooklyn+American+Cakery/,https://lh5.googleusercontent.com/p/AF1QipNCZF8eyuXWuzWF6tqqGwFeU_vyEaRaQaBTt5qA=w408-h271-k-no,Cake shop,Closed,brooklynindonesia.com,+62 813-1555-3514,Reviews
ngoepi,https://www.google.co.id/maps/place/ngoepi/,https://lh5.googleusercontent.com/p/AF1QipPuRP3SIBIjYmkRqdmOW_BGDU2nyFeeKGtKajbT=w408-h612-k-no,Coffee store,"Jl. Keuangan Raya No.15, RW.5, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia",linktr.ee,+62 888-9807-129,"PQ6V+4F West Cilandak, South Jakarta City, Jakarta, Indonesia"
Toko Diana Bakery - Harapan Jaya,https://www.google.co.id/maps/place/Toko+Diana+Bakery+-+Harapan+Jaya/,https://lh5.googleusercontent.com/p/AF1QipNL69u0RghHvEvSWbRxuzoWnt5_n1K-MMvpyXtI=w408-h544-k-no,Bakery,"Jl. Cemara Permai Blok No.A-159, RT.005/RW.010, Harapan Jaya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17124, Indonesia",Menu,dianabakery.id,+62 851-0040-5528
Khasanah Sari,https://www.google.co.id/maps/place/Khasanah+Sari/,https://lh5.googleusercontent.com/p/AF1QipO4S5wPYKd2OMmRQ-877Lflq2SqJDTOWanrD5A0=w408-h546-k-no,Cake shop,"Jalan Bintara Raya No. 6A Rt. 02 Rw. 06, RT.004/RW.003, Bintara, Kec. Bekasi Bar., Kota Bks, Daerah Khusus Ibukota Jakarta 17134, Indonesia",khasanahsari.co.id,+62 21 89983740,"QXF4+PJ Bintara, Bekasi City, West Java, Indonesia"
Khasanah Sari Pondok Ungu,https://www.google.co.id/maps/place/Khasanah+Sari+Pondok+Ungu/,https://lh5.googleusercontent.com/p/AF1QipNxqJqcLBzLVB1dIU6XdnJmJT7-dAW48wjRnayi=w408-h244-k-no,Bakery,"Jalan Kali abang Tengah Pondok Ungu Permai (Depan Pom Bensin), RT.002/RW.026, Kaliabang Tengah, Kec. Bekasi Utara, Jawa Barat, 17125, Indonesia",khasanahsari.co.id,+62 857-8280-4500,"R283+MG Central Kaliabang, Bekasi City, West Java, Indonesia"
maharani cake,https://www.google.co.id/maps/place/maharani+cake/,https://lh5.googleusercontent.com/p/AF1QipPnrSfnYPu3tWUFT902DDSir87jvHkicsOIUKem=w408-h725-k-no,Cake shop,"RT.1/RW.3, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13460, Indonesia","QWFV+Q7 Pondok Kopi, East Jakarta City, Jakarta, Indonesia",Claim this business,Reviews
Suisse Bakery,https://www.google.co.id/maps/place/Suisse+Bakery/,https://lh5.googleusercontent.com/proxy/wGXVSJcvxnn9ti6ZUt_OfV_uY0TrdCCn4wrbPnWEIprIfciz9_WA9S6TdcT1-1jEM7wuaesmXqdfpLERBI8Hz3o1rQRvRGmJvzerv7rDY_rHECS03gXYn9h2Xj9fWm1C5c-rAcwBiv0QgwJcLNjCioaKWg-trCE=w408-h306-k-no,Bakery,"Jl. Hayam Wuruk 114 Blok A No.5-6, RT.10/RW.9, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",+62 21 6393409,"RRX8+PW Maphar, West Jakarta City, Jakarta, Indonesia",Claim this business
Mawar Sari Bakery & Cake,https://www.google.co.id/maps/place/Mawar+Sari+Bakery+%26+Cake/,https://lh5.googleusercontent.com/p/AF1QipPh3LwlM6yP25iLw2TWPqoQyWDS1kd0U2pRfDD_=w408-h306-k-no,Bakery,"Ruko Darwin No.66 Jl. Scientia Boulevard Utara, Summarecon Gading Serpong,, Medang, Kec. Pagedangan, Tangerang, Banten 15334, Indonesia",mawarsaribakery.com,+62 21 29238996,"PJV6+WC Medang, Tangerang, Banten, Indonesia"
Okky Bakery,https://www.google.co.id/maps/place/Okky+Bakery/,https://lh5.googleusercontent.com/p/AF1QipNPwN9MLSIYUX-8Ko2r7VEqVBSQr2jtfdLhK5yL=w408-h306-k-no,Bakery,"Jl. Guntur No.40, RT.8/RW.1, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980, Indonesia",+62 21 8294910,"QRRP+JP Guntur, South Jakarta City, Jakarta, Indonesia",Claim this business
Khasanah sari Pondok gede,https://www.google.co.id/maps/place/Khasanah+sari+Pondok+gede/,https://lh5.googleusercontent.com/p/AF1QipM-8JKAXSeOPuIlbs2gKQQvjlPL6EcRmPmR3e11=w408-h408-k-no,Bakery,Closing soon:  7am–9pm,+62 857-1487-7343,Manage this listing,Reviews
Mawar Sari Bakery & Cake,https://www.google.co.id/maps/place/Mawar+Sari+Bakery+%26+Cake/,https://lh5.googleusercontent.com/p/AF1QipNUnu3f070x_D1QNP_aqfoDRgSa26bYcrh79OPY=w426-h240-k-no,Bakery,"Jl. Raya Harapan Kita No.3, RW.4, Bencongan Indah, Kec. Klp. Dua, Tangerang, Banten 15811, Indonesia",mawarsaribakery.com,+62 21 29874031,"QJJ2+HP Bencongan Indah, Tangerang, Banten, Indonesia"
Khasanah sari alinda,https://www.google.co.id/maps/place/Khasanah+sari+alinda/,https://geo3.ggpht.com/cbk?panoid=SzQYsaqttoukcwUmb0EWUQ&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=240.38216&pitch=0&thumbfov=100,Bakery,"Jl Lingkar utara ruko depan perum permata hijau ( samping pom bensin ) kali, aban, RT.004/RW.006, Perwira, Kec. Bekasi Utara, Bekasi, Jawa Barat 17124, Indonesia",+62 857-8159-6775,"Q2W3+HG Perwira, Bekasi City, West Java, Indonesia",Manage this listing
Stelete Cake,https://www.google.co.id/maps/place/Stelete+Cake/,https://lh5.googleusercontent.com/p/AF1QipNwjrmcyTWg5AN3ibN-qEP_l0uj5VhMiBQkad-P=w408-h306-k-no,Bakery,"Komplek Lokasari Blok B no 17, Jl. Raya Mangga Besar, RT.13/RW.1, Tangki, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",instagram.com,+62 812-9111-2323,"VR2F+VJ Tangki, West Jakarta City, Jakarta, Indonesia"
Okky & Paul,https://www.google.co.id/maps/place/Okky+%26+Paul/,https://geo1.ggpht.com/cbk?panoid=fQQsllDwTnMBfG6rcCrx4w&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=138.4522&pitch=0&thumbfov=100,Food products supplier,"13, Jl. Guntur No.40-42, RT.13/RW.5, Ps. Manggis, Setia Budi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 10220, Indonesia","QRRQ+P2 Pasar Manggis, South Jakarta City, Jakarta, Indonesia",Claim this business,"KOFFIERASSE WISMA MANDIRI
4.5(35)
Cafe"
Mawar Sari Cake Shop,https://www.google.co.id/maps/place/Mawar+Sari+Cake+Shop/,https://lh4.googleusercontent.com/proxy/v9wS8KnH-oWyyZlwJ68B5fyNA900t7m9Tu9UC-l7gDu7AOhZtLkJCq4qCvknZjsvc2T1ZAEADWyjoI5-ibhlMnLzrj7XKrhNW0im97za2szNkQ68IJq3_AogV9a0vibIaue5lYEzQSpggcJgwcpEx7MQC5FlNIQ=w564-h240-k-no,Bakery,"Jl. Raya Taman Cibodas, RT.003/RW.010, Sangiang Jaya, Kec. Periuk, Kota Tangerang, Banten 15132, Indonesia",mawarsaribakery.com,+62 21 5535034,"RH7X+WX Sangiang Jaya, Tangerang City, Banten, Indonesia"
Maulin's Brownies (Pusat),https://www.google.co.id/maps/place/Maulin's+Brownies+(Pusat)/,https://lh5.googleusercontent.com/p/AF1QipOIf40-e9CZbRLqVVnMg1MWmsmhVS9mDw0ItNB1=w408-h272-k-no,Bakery,"Perumahan, Jl. Raya Taman Narogong Indah No.9, RT.007/RW.013, Bojong Rawalumbu, Bekasi Timur, Jawa Barat 17116, Indonesia",Menu,maulinsbrownies.com,+62 857-1458-5985
Dapur Bunda Inan,https://www.google.co.id/maps/place/Dapur+Bunda+Inan/,https://lh5.googleusercontent.com/p/AF1QipNPJ4yHdlsKhUdiqUdJvGIqmHEwRbp1HqpGs58O=w408-h408-k-no,Cake shop,"Jl. Meteorologi, RT.002/RW.011, Tanah Tinggi, Kec. Tangerang, Kota Tangerang, Banten 15119, Indonesia",+62 822-2639-0009,"RJGX+R6 Tanah Tinggi, Tangerang City, Banten, Indonesia",Claim this business
Royal Snack Box,https://www.google.co.id/maps/place/Royal+Snack+Box/,https://lh5.googleusercontent.com/p/AF1QipNzAXOq9vGgI4XKUlHsULF7fC8C69T88lGJbrg9=w426-h240-k-no,Caterer,"Perumahan Inkopol, Jl. Merak III No.52, Jakasampurna, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17145, Indonesia",royalsnackbox.com,Menu,royalsnackbox.com
Amanda Brownies Cimone,https://www.google.co.id/maps/place/Amanda+Brownies+Cimone/,https://lh5.googleusercontent.com/p/AF1QipNozOZSaA-JnoptdfqPcOod6E3ydUa33QiQiom1=w408-h489-k-no,Cake shop,"Outlet Amanda Karawaci, Jl. Raya Merdeka No.207 D, RT.003/RW.001, Sukajadi, Kec. Karawaci, Kota Tangerang, Banten 15113, Indonesia",amandabrownies.co.id,+62 21 5516480,"RJCF+CG Sukajadi, Tangerang City, Banten, Indonesia"
Toko Diana Bakery - Pondok Ungu Permai,https://www.google.co.id/maps/place/Toko+Diana+Bakery+-+Pondok+Ungu+Permai/,https://lh5.googleusercontent.com/p/AF1QipMB9nzno0RbrAz4a72-DT5I2Yb39h3oPSR-UBfb=w408-h272-k-no,Bakery,"Pondok Ungu Permai blok AD 1 no. 2, Bahagia, Babelan, Bahagia, Kec. Babelan, Kota Bks, Jawa Barat 17125, Indonesia",Menu,dianabakery.id,+62 858-8724-1390
Risoles Mayonaise,https://www.google.co.id/maps/place/Risoles+Mayonaise/,https://lh5.googleusercontent.com/p/AF1QipMLf6ROY4V4OD4LA5sjBYwK1POWMsWs2h2djBWE=w408-h544-k-no,Cafe,"Jl. STM Walang Jaya, RT.9/RW.1, Tugu Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14260, Indonesia",+62 858-1093-4045,"VW95+87 South Tugu, North Jakarta City, Jakarta, Indonesia",Reviews
Verina Risoles,https://www.google.co.id/maps/place/Verina+Risoles/,https://lh4.googleusercontent.com/proxy/VXakYOADUf7rjPXRBU8RUu8sk1VFq50UOdCgfxwy0HQfmE1Ghp4wa9A-P2-PNz2CkC9LcGrASkzV8d28Hpg5Ixt60ORAMCJkNPN6xEUMgPaMxnD889dHl_cyls9UBNQVm5sZfaJdtqZSX1IGU9u0A93LPDBEvQ=w408-h306-k-no,Indonesian restaurant,"Gajah Mada Plaza, JL.Gajah Mada 19-26, Ground Floor, RT.2/RW.1, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130, Indonesia",verinarisoles.net,+62 812-1076-6800,"RRQ9+WG North Petojo, Central Jakarta City, Jakarta, Indonesia"
Risoles Ayong Kelapa Gading,https://www.google.co.id/maps/place/Risoles+Ayong+Kelapa+Gading/,https://lh5.googleusercontent.com/p/AF1QipPETjNXl9g-FxFjAlFqX_mwMWasoQyV3AimDK4h=w408-h408-k-no,Deli,"Blok P, Jl. Sumagung 3 No.16, RT.14/RW.2, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",+62 812-5838-7488,"RWH2+PW East Kelapa Gading, North Jakarta City, Jakarta, Indonesia",Reviews
Risoles & Kroket Regency,https://www.google.co.id/maps/place/Risoles+%26+Kroket+Regency/,https://lh5.googleusercontent.com/p/AF1QipOJscMD0UHzz4Vm02N5kEyF4_QBiVvtUNKvjjNL=w408-h306-k-no,Family restaurant,"Eat And Eat Lantai 3 MKG 5 Jalan Boulevard Raya Jakarta Utara, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",Open now:  10am–10pm,+62 21 4529532,"RWV5+8J East Kelapa Gading, North Jakarta City, Jakarta, Indonesia"
Risoles Ayong Kelapa Gading,https://www.google.co.id/maps/place/Risoles+Ayong+Kelapa+Gading/,https://geo1.ggpht.com/cbk?panoid=l1y6uccoizA80yTlfYy6Hg&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=38.969986&pitch=0&thumbfov=100,Restaurant,"Jl. Taman Mandiri II, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",Claim this business,About this data,
Aspana Risol,https://www.google.co.id/maps/place/Aspana+Risol/,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,Bakery,"Jl. Rambutan Tim. 6 No.211, RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",+62 818-0835-9292,"RQFM+X4 North Tanjung Duren, West Jakarta City, Jakarta, Indonesia",Reviews
Tatasnacks - Sambal Bu Rudy,https://www.google.co.id/maps/place/Tatasnacks+-+Sambal+Bu+Rudy/,https://lh5.googleusercontent.com/p/AF1QipPCR3b-SCyZxSh6-mKBTcAtjpRTINq4m2jTlrEt=w408-h408-k-no,Frozen food store,"Rumah Tatasnacks Komplek Walikota, Sukapura Jl Kasuari A1 no 23, RT.3/RW.6, Sukapura, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Indonesia",tatasnacks.com,+62 813-9891-5391,"RWWF+7P Sukapura, North Jakarta City, Jakarta, Indonesia"
risol syabina,https://www.google.co.id/maps/place/risol+syabina/,https://lh5.googleusercontent.com/p/AF1QipPgg5CU_gk8knB_X9vrdEAgMwDcTv4rdtA1TF1G=w408-h306-k-no,Deli,"Jl. Pori Raya No.07, RT.9, Pisangan Baru, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240, Indonesia","QVRJ+67 Pisangan Baru, East Jakarta City, Jakarta, Indonesia",About this data,
